idHh,idBu,idPers,idPartner,idMother,idFather,statCollectionWave,demMaleFlag,demAge,demNChild0to2,demNChild,eduSpellFlag,eduHighestC3,eduHighestC4,eduExitSampleFlag,healthDsblLongtermFlag,healthSelfRated,yEmpPersGrossMonth,yNonBenPersGrossMonth,yMiscPersGrossMonth,demPartnerNYear,demAgePartnerDiff,yPersAndPartnerGrossDiffMonth,eduReturnFlag,eduHighestMotherC3,eduHighestFatherC3,statInterviewYear,healthWbScore0to36,scghq2_dv,labHrsWorkWeek,labHrsWorkWeekL1,labC4,healthPsyDstrss0to12,demAdultChildFlag,labWageHrly,labWageHrlyL1,wealthOPMembers,wealthPPMembers,careNeedFlag,careHrsFormal,careHrsInformal,careFormalX,careHrsProvidedWeek,yBenReceivedFlag,yBenNonUCReceivedFlag,yBenUCReceivedFlag,yCapitalPersMonth,yPensPersGrossMonth,healthMentalMcs,healthPhysicalPcs,healthMentalPartnerMcs,healthPhysicalPartnerPcs,demLifeSatScore0to10,demEthnC4,demEthnC6,labUnempFlag,yFinDstrssFlag,labEmpNyear,demRgn,yHhQuintilesMonthC5,wealthPrptyFlag,wgtHhCross,wealthTotValue,wealthPensValue,wealthPrptyValue,wealthMortgageDebtValue,yDispMonth
5,8,14,13,-9,-9,1,1,59,0,0,0,2,2,-9,0,5,7.8107586,8.1143713,0,39,2,-173.00688,0,-9,-9,2019,11,0,40,40,1,0,0,9.0591354,9.0591354,1,0,0,0,0,0,0,0,0,0,4.8414431,0,49.28,59.91,43.42,62.33,8.333333333333334,1,1,0,0,12,2,4,1,267,63134.176,-24810.285,0,0,2080.4895
6,9,15,-9,-9,-9,1,0,59,0,0,0,3,3,-9,0,2,7.2796264,7.4568448,5.6879668,0,0,-955.93127,0,3,3,2019,15,3,26,25,1,3,0,10.067344,10.067344,1,0,0,0,0,0,2,0,0,0,7.0214577,5.8079309,28.17,41.17,-9,-9,5,1,1,0,0,11,4,3,1,967,189.0956,165882.14,195923.55,79869.797,1879.2904
7,10,16,-9,-9,-9,1,0,89,0,0,0,2,2,-9,0,2,0,7.1263657,7.1034117,0,0,-930.01666,0,3,3,2019,6,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3.6683795,7.2850986,64.14,27.54,-9,-9,10,1,1,0,0,0,5,2,1,537,51142.691,13337.689,107372.27,0,966.8728
8,11,17,18,-9,-9,1,0,56,0,0,0,2,2,-9,0,3,8.3770714,8.4105854,0,9,-3,10.577123,0,2,1,2019,11,0,24,24,1,2,0,19.826166,19.826166,0,0,0,0,0,0,0,0,0,0,4.7946534,0,49,48,55.93,49.95,7,4,5,0,0,1,7,4,1,1257.5,1177763.9,791486.88,267730.63,0,2806.0232
8,11,18,17,-9,-9,1,1,59,0,0,0,1,1,-9,0,3,0,7.7837243,7.8780022,9,3,-11.325494,0,3,3,2019,11,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5938745,7.8210058,55.93,49.95,49,48,8.333333333333334,1,1,0,0,8,7,4,1,1257.5,1177763.9,791486.88,267730.63,0,2806.0232
9,12,19,20,-9,-9,1,0,43,0,1,0,2,2,-9,0,3,7.8770919,7.718925,0,7,-6,-25.334946,0,2,2,2019,7,0,27,30,1,0,0,10.84814,10.84814,1,0,0,0,0,1.8773969,0,0,0,0,0,0,54.58,46.41,39.71,61.24,8.333333333333334,4,2,0,0,7,5,5,1,507.75,597248.25,484084.94,300638.97,201776.5,5547.0981
9,12,20,19,-9,-9,1,1,49,0,1,0,1,1,-9,0,4,9.1927595,9.1964836,0,7,6,41.76741,0,-9,-9,2019,22,11,45,37,1,11,0,28.806786,28.806786,1,0,0,0,0,0,0,0,0,0,0,0,39.71,61.24,54.58,46.41,8.333333333333334,1,1,0,0,7,5,5,1,507.75,597248.25,484084.94,300638.97,201776.5,5547.0981
9,12,21,-9,19,20,1,1,17,0,1,1,2,0,-9,0,3,0,0,0,0,0,-1061.3251,-9,2,1,2019,16,4,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.61,56.93,-9,-9,6.666666666666667,1,1,0,0,0,5,5,1,507.75,597248.25,484084.94,300638.97,201776.5,5547.0981
9,12,22,-9,19,20,1,0,13,0,1,1,3,0,-9,0,3,0,0,0,0,0,-959.7807,-9,2,1,2019,14,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,42,54,-9,-9,6,1,1,-9,0,0,5,5,1,507.75,597248.25,484084.94,300638.97,201776.5,5547.0981
9,13,23,-9,19,20,1,0,19,0,1,1,2,0,0,0,5,0,0,0,0,0,-1132.3942,-9,2,1,2019,10,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.36,58.53,-9,-9,8.333333333333334,1,1,0,0,0,5,1,1,632,-167678.36,0,0,0,0
10,14,24,-9,-9,-9,1,0,60,0,0,0,1,1,-9,0,4,8.3839512,8.674552,7.8190174,0,0,-992.96881,0,2,2,2019,13,3,43,43,1,3,0,14.038168,14.038168,0,0,0,0,0,0,0,0,0,0,0,8.0891008,46.16,58.62,-9,-9,8.333333333333334,1,1,0,0,7,9,5,1,488,1317114.3,590242.25,373278.97,0,2633.511
11,15,25,26,-9,-9,1,0,46,0,0,0,3,3,-9,0,5,7.5462093,7.4849954,0,25,-7,20.81933,0,2,2,2019,9,2,32,24,1,2,0,6.366076,6.366076,2,0,0,0,0,0,0,0,0,0,0,0,45.68,47.26,61.86,35.07,10,2,3,0,0,9,8,4,0,4124.5,1470995.6,612043.63,593701.25,0,2046.0469
11,15,26,25,-9,-9,1,1,53,0,0,0,3,3,-9,0,3,8.4767857,8.305191,0,25,7,-130.07478,0,2,2,2019,15,3,35,35,1,3,0,11.304719,11.304719,2,0,0,0,0,0,0,0,0,0,0,0,61.86,35.07,45.68,47.26,10,2,3,0,0,10,8,4,0,4124.5,1470995.6,612043.63,593701.25,0,2046.0469
12,16,27,28,-9,-9,1,1,51,0,0,0,2,2,-9,0,4,8.2938433,8.1936255,0,11,12,-36.674496,0,2,2,2019,6,0,60,66,1,0,0,10.058105,10.058105,2,0,0,0,0,0,0,0,0,0,2.5564685,0,54.79,55.86,56.35,51,8.333333333333334,1,1,0,0,11,7,5,1,1535,503422.63,182565.98,364455.19,47349.219,4232.6338
12,16,28,27,-9,-9,1,0,39,0,0,0,2,2,-9,0,4,8.773406,8.8980427,0,12,-12,-9.7901831,0,2,3,2019,12,0,65,65,1,0,0,12.448857,12.448857,2,0,0,0,0,0,0,0,0,0,0,0,56.35,51,54.79,55.86,6.666666666666667,1,1,0,0,10,7,5,1,1535,503422.63,182565.98,364455.19,47349.219,4232.6338
13,17,29,-9,-9,-9,1,1,73,0,0,0,3,3,-9,0,2,0,0,0,0,0,-1102.5778,0,3,2,2019,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,61.87,31.31,-9,-9,10,1,1,0,0,0,4,1,1,400,22999.063,0,0,0,943.68427
14,18,30,31,-9,-9,1,1,46,0,0,0,2,2,-9,0,4,0,0,0,11,0,-8.9189024,0,2,2,2019,7,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.2,57.49,38.75,52.49,8.333333333333334,1,1,1,0,12,2,3,1,1505,346998.81,75828.922,227678.25,76727.805,1294.2236
14,18,31,30,-9,-9,1,0,46,0,0,0,1,1,-9,0,4,8.1037321,8.5233202,0,11,0,-25.698769,0,3,3,2019,10,0,47,40,1,0,0,9.5444155,9.5444155,0,0,0,0,0,0,0,0,0,0,0,0,38.75,52.49,54.2,57.49,5,1,1,0,0,13,2,3,1,1505,346998.81,75828.922,227678.25,76727.805,1294.2236
15,19,32,-9,-9,-9,1,0,39,0,0,0,2,2,-9,0,3,8.643219,8.7830477,0,0,0,-995.95239,0,2,3,2019,5,0,40,40,1,0,0,15.722763,15.722763,1,0,0,0,0,0,0,1,1,0,0,0,55.37,40.83,-9,-9,6.666666666666667,1,1,0,1,8,9,5,0,656,-22764.484,-91513.758,0,0,2312.731
16,20,33,-9,-9,-9,1,0,24,0,0,0,1,1,1,0,4,8.3217926,8.253437,0,0,0,-1001.7943,-9,2,2,2019,13,1,48,0,1,1,0,10.358127,10.358127,0,0,0,0,0,0,0,0,0,0,.5019868,0,49.35,59.64,-9,-9,6.666666666666667,1,1,0,0,3,10,4,0,899,-85861.68,0,0,0,2028.8986
17,21,34,35,-9,-9,1,1,53,0,0,0,2,2,-9,0,3,7.6269894,7.6614785,0,9,0,-76.846199,0,-9,-9,2019,11,0,50,50,1,1,0,4.1521254,4.1521254,2,0,0,0,0,0,0,0,0,0,0,0,50,50,57.16,56.15,7,1,1,0,0,1,5,3,1,260,444927.22,268885.75,98348.391,0,2353.3984
17,21,35,34,-9,-9,1,0,53,0,0,0,2,2,-9,0,4,7.3434806,7.5094643,0,30,0,33.647289,0,3,3,2019,11,0,20,16,1,0,0,9.4087877,9.4087877,2,0,0,0,0,0,0,0,0,0,6.6619267,0,57.16,56.15,50,50,8.333333333333334,1,1,0,0,9,5,3,1,260,444927.22,268885.75,98348.391,0,2353.3984
18,22,36,37,-9,-9,1,1,50,0,0,0,2,2,-9,0,4,8.3232765,8.5266237,0,3,0,76.949135,-9,2,1,2019,4,0,47,0,1,0,0,13.409367,13.409367,1,0,0,0,0,0,2,0,0,0,0,0,62.49,55.09,57.33,53.46,1.666666666666667,1,1,0,0,6,9,5,0,350,566652.63,303503.09,402178.94,77317.43,3935.4558
18,22,37,36,-9,-9,1,0,50,0,0,0,1,1,-9,0,3,8.5873747,8.5597878,0,3,0,112.88796,0,2,3,2019,6,0,42,43,1,0,0,13.448325,13.448325,1,0,0,0,0,0,2,0,0,0,0,0,57.33,53.46,62.49,55.09,8.333333333333334,1,1,0,0,10,9,5,0,350,566652.63,303503.09,402178.94,77317.43,3935.4558
19,23,38,39,-9,-9,1,1,31,0,0,0,2,2,-9,0,5,8.8954086,8.9756899,0,1,1,-20.594673,0,2,3,2019,9,0,90,90,1,0,0,8.6452961,8.6452961,2,0,0,0,0,0,0,0,0,0,0,0,54.69,57.47,23.48,57.66,1.666666666666667,1,1,0,0,9,4,5,1,231,-6617.0137,80958.438,130565.27,85068.313,2579.8401
19,23,39,38,-9,-9,1,0,30,0,0,0,1,1,-9,0,5,0,0,0,1,-1,-66.942558,-9,-9,-9,2019,22,8,0,0,3,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,23.48,57.66,54.69,57.47,0,1,1,0,0,0,4,5,1,231,-6617.0137,80958.438,130565.27,85068.313,2579.8401
20,24,40,-9,-9,-9,1,1,56,0,0,0,3,3,-9,0,1,0,0,0,0,0,-978.39441,0,3,3,2019,21,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39.71,23.9,-9,-9,1.666666666666667,1,1,0,1,0,2,1,0,562,105782.28,148673.16,0,0,1025.0348
21,25,41,-9,-9,-9,1,0,45,0,0,0,2,2,-9,0,5,7.731348,7.6884966,0,0,0,-1156.665,0,2,2,2019,10,1,33,38,1,1,0,7.6029482,7.6029482,1,0,0,0,0,0,0,0,0,0,0,0,66.34,49.42,-9,-9,5,1,1,0,0,11,1,3,1,572,-43320.27,31657.422,0,0,1190.0725
21,26,42,-9,41,-9,1,1,25,0,0,0,2,2,-9,0,4,8.346899,8.3798532,0,0,0,-950.19482,0,2,2,2019,9,3,53,44,1,3,1,8.5437536,8.5437536,1,0,0,0,0,0,0,0,0,0,7.0788231,0,56.18,42.45,-9,-9,0,1,1,0,0,9,1,4,1,349,-15816.777,-111619.93,0,0,1601.0919
22,27,43,-9,-9,-9,1,0,58,0,0,0,1,1,-9,0,4,8.8414793,9.0292788,0,0,0,-1021.2479,0,3,2,2019,12,0,104,55,1,0,0,7.1072912,7.1072912,1,0,0,0,0,0,2,0,0,0,2.565768,0,51.98,51.67,-9,-9,6.666666666666667,1,1,0,0,10,9,5,1,79,627943.75,309733.16,237773.42,0,2588.0291
23,28,44,-9,-9,-9,1,0,62,0,0,0,3,3,-9,0,4,0,5.6341476,5.439568,0,0,-998.93591,0,3,3,2019,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5.2466946,60.12,54.8,-9,-9,10,1,1,0,0,0,13,2,1,1376,79917.266,70394.445,5845.561,23272.637,802.26508
23,29,45,-9,44,-9,1,1,29,0,0,0,1,1,-9,0,4,7.3496742,7.248075,0,0,0,-1143.6936,0,3,2,2019,10,0,25,30,1,0,0,7.7311053,7.7311053,0,0,0,0,0,0,0,1,1,0,0,0,46.31,56.45,-9,-9,8.333333333333334,1,1,0,0,9,13,3,1,414,-158937.19,0,0,0,895.43848
23,30,46,-9,44,-9,1,1,31,0,0,0,2,2,-9,0,4,7.8849134,7.9699321,0,0,0,-1018.4888,0,3,2,2019,6,0,40,8,1,0,0,6.6301494,6.6301494,0,0,0,0,0,0,0,1,1,0,0,0,62.49,55.09,-9,-9,10,1,1,0,0,9,13,3,1,297,-214402.34,0,0,0,1187.1884
24,31,47,-9,50,49,1,1,12,0,3,1,3,0,-9,0,5,0,0,0,0,0,-1045.8256,-9,1,1,2019,9,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,50,61,-9,-9,7,3,4,-9,0,0,8,5,1,268.25,1443679.6,168217.88,654982.75,0,4901.4688
24,31,48,-9,50,49,1,0,8,0,3,1,3,0,-9,0,4,0,0,0,0,0,-910.02783,-9,1,1,2019,12,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,45,59,-9,-9,7,3,4,-9,0,0,8,5,1,268.25,1443679.6,168217.88,654982.75,0,4901.4688
24,31,49,50,-9,-9,1,1,47,0,3,0,1,1,-9,0,5,9.0681047,8.8710642,0,16,4,-12.486615,0,-9,-9,2019,6,0,40,40,1,0,0,24.026606,24.026606,1,0,0,0,0,0,0,1,1,0,0,0,54.1,59.11,50,55,6.666666666666667,3,4,0,0,9,8,5,1,268.25,1443679.6,168217.88,654982.75,0,4901.4688
24,31,50,49,-9,-9,1,0,43,0,3,0,1,1,-9,0,4,8.7008972,8.4947481,0,16,-4,41.53281,0,-9,-9,2019,10,0,40,40,1,1,0,15.228735,15.228735,1,0,0,0,0,0,0,1,1,0,0,0,50,55,54.1,59.11,8,3,4,0,0,1,8,5,1,268.25,1443679.6,168217.88,654982.75,0,4901.4688
25,32,51,-9,-9,-9,1,0,57,0,0,0,2,2,-9,0,3,7.8821154,8.2076273,0,0,0,-1012.6085,0,2,3,2019,19,7,20,22,1,7,0,15.926025,15.926025,1,0,0,0,0,0,27,0,0,0,0,0,46.17,51.53,-9,-9,3.333333333333333,1,1,0,0,10,6,3,0,535,114826.11,-83793.789,0,0,1059.7515
26,33,52,-9,53,54,1,0,13,0,1,1,3,0,-9,0,5,0,0,0,0,0,-1103.8507,-9,1,2,2019,11,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,47,61,-9,-9,7,1,1,-9,0,0,6,5,1,705,1112457.8,867433.13,380316.25,172711.81,3796.4902
26,33,53,54,-9,-9,1,0,50,0,1,0,1,1,-9,0,3,7.7071333,7.7795892,0,7,-3,-94.040771,0,-9,-9,2019,12,0,40,40,1,0,0,6.802711,6.802711,2,0,0,0,0,0,0,0,0,0,0,0,50.6,51,58.72,51.29,1.666666666666667,1,1,0,0,11,6,5,1,705,1112457.8,867433.13,380316.25,172711.81,3796.4902
26,33,54,53,-9,-9,1,1,53,0,1,0,2,2,-9,0,4,9.0078192,8.8569565,0,29,3,-33.163204,0,3,2,2019,12,0,37,37,1,0,0,24.118113,24.118113,2,0,0,0,0,0,0,0,0,0,0,0,58.72,51.29,50.6,51,8.333333333333334,1,1,0,0,11,6,5,1,705,1112457.8,867433.13,380316.25,172711.81,3796.4902
26,34,55,-9,53,54,1,1,21,0,1,0,2,2,-9,0,5,6.8045325,6.8902369,0,0,0,-955.51831,0,1,2,2019,6,0,40,39,1,0,1,2.9678667,2.9678667,0,0,0,0,0,0,0,0,0,0,0,0,59.43,58.05,-9,-9,8.333333333333334,1,1,0,0,3,6,2,1,936,49394.516,97283.555,0,0,808.10602
27,35,56,57,-9,-9,1,0,53,0,0,0,2,2,-9,0,3,9.132906,9.3043394,0,28,2,-20.431911,0,2,-9,2019,14,2,35,40,1,2,0,31.954943,31.954943,2,0,0,0,0,0,0,0,0,0,4.1186175,0,48.35,50.73,13.09,57.49,6.666666666666667,1,1,0,0,10,10,5,1,874.5,1063280.5,749519.75,282664.31,0,5687.6035
27,35,57,56,-9,-9,1,1,51,0,0,0,2,2,-9,0,2,9.0785255,9.1011438,0,28,-2,-11.101586,0,2,2,2019,29,12,50,45,1,12,0,18.904922,18.904922,2,0,0,0,0,0,2,0,0,0,0,0,13.09,57.49,48.35,50.73,3.333333333333333,1,1,0,0,10,10,5,1,874.5,1063280.5,749519.75,282664.31,0,5687.6035
27,36,58,-9,56,57,1,1,23,0,0,0,2,2,0,0,4,0,6.3624306,6.6011934,0,0,-991.77332,-9,2,2,2019,20,8,0,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7989593,0,34.83,60.66,-9,-9,6.666666666666667,1,1,0,0,3,10,2,1,784,156104.69,0,0,0,-428.8772
27,37,59,-9,56,57,1,0,22,0,0,1,2,0,0,0,5,0,8.245698,8.6786814,0,0,-993.49005,-9,2,2,2019,8,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.3396931,0,51.73,58.82,-9,-9,8.333333333333334,1,1,0,0,7,10,4,1,239,136378.28,87541.516,0,0,1628.1392
28,38,60,61,-9,-9,1,1,68,0,0,0,3,3,-9,0,3,0,7.409153,7.4294882,24,2,48.636681,0,2,2,2019,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.3759418,52,47,60.14,46.44,7,1,1,0,0,0,2,3,1,689.5,921081.63,662803.38,194090.39,0,2768.6804
28,38,61,60,-9,-9,1,0,66,0,0,0,2,2,-9,0,4,0,4.3260121,4.4940214,24,-2,18.533976,0,2,2,2019,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14.5,1,1,0,0,4.6510277,60.14,46.44,52,47,10,1,1,0,0,5,2,3,1,689.5,921081.63,662803.38,194090.39,0,2768.6804
29,39,62,63,-9,-9,1,1,72,0,0,0,2,2,-9,0,1,0,0,0,31,-3,0,0,3,3,2019,17,6,0,0,4,6,0,0,0,0,0,1,0,6.5561237,0,74.5,1,1,0,.70960045,0,50.34,19.4,52,46,3.333333333333333,1,1,0,0,0,12,1,0,739.5,2006.3828,0,0,0,2269.7544
29,39,63,62,-9,-9,1,0,75,0,0,0,3,3,-9,0,3,0,0,0,31,3,0,0,3,-9,2019,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,52,46,50.34,19.4,8,1,1,0,0,0,12,1,0,739.5,2006.3828,0,0,0,2269.7544
30,40,64,-9,-9,-9,1,0,58,0,0,0,2,2,-9,0,4,8.1347694,8.1331606,0,0,0,-986.29303,0,3,3,2019,14,2,30,28,1,2,0,11.144498,11.144498,1,1,0,0,0,0,0,1,1,0,6.861186,0,48.28,60.18,-9,-9,6.666666666666667,1,1,0,0,11,12,4,1,483,451768.34,266071.09,239871.41,0,2160.5217
31,41,65,-9,-9,-9,1,0,28,0,0,0,2,2,-9,1,1,0,0,0,0,0,-924.13367,0,-9,-9,2019,25,10,0,0,3,10,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23.78,32.48,-9,-9,3.333333333333333,1,1,0,0,1,1,1,1,213,-21240.09,0,0,0,890.97333
31,42,66,67,-9,-9,1,0,42,0,0,0,1,1,-9,0,4,6.7375679,6.548492,0,3,10,17.376661,0,-9,-9,2019,11,1,20,35,1,1,0,3.7955503,3.7955503,0,0,0,0,0,0,0,1,1,0,6.9845114,0,32.26,60.74,33.07,57.08,6.666666666666667,1,1,0,1,4,1,2,1,158.5,16775.451,68180.555,0,0,1251.6487
31,42,67,66,-9,-9,1,1,32,0,0,0,2,2,-9,0,2,6.8347702,6.7831984,0,3,-10,143.87714,0,-9,-9,2019,20,8,50,35,1,8,0,2.2585616,2.2585616,0,0,0,0,0,0,0,1,1,0,0,0,33.07,57.08,32.26,60.74,1.666666666666667,1,1,0,1,3,1,2,1,158.5,16775.451,68180.555,0,0,1251.6487
32,43,68,69,-9,-9,1,1,82,0,0,0,2,2,-9,0,2,0,4.8641114,5.1789489,57,6,-28.648138,0,3,2,2019,9,0,0,0,4,0,0,0,0,0,0,1,0,13.440374,0,0,1,1,0,0,5.0095415,57.8,14.21,49.9,51.28,6.666666666666667,1,1,0,0,8,7,2,1,753,637046.25,0,685578.63,0,1816.6168
32,43,69,68,-9,-9,1,0,76,0,0,0,2,2,-9,0,3,0,0,0,9,-6,-3.0991392,0,-9,-9,2019,9,0,0,0,4,0,0,0,0,0,0,1,0,0,0,120,1,1,0,0,0,49.9,51.28,57.8,14.21,6.666666666666667,1,1,0,0,0,7,2,1,753,637046.25,0,685578.63,0,1816.6168
33,44,70,-9,-9,-9,1,0,33,0,0,0,2,2,-9,0,4,7.6394482,7.8836875,0,0,0,-963.40186,0,1,1,2019,2,0,20,20,1,0,0,12.866517,12.866517,0,0,0,0,0,0,0,0,0,0,2.5033662,0,58.3,52.91,-9,-9,8.333333333333334,4,2,0,0,12,5,3,0,2691,81193.219,0,0,0,1111.4011
34,45,71,-9,-9,-9,1,1,28,0,0,0,2,2,-9,0,2,7.5200191,7.506741,0,0,0,-937.75653,0,3,3,2019,20,7,45,43,1,7,1,5.1737399,5.1737399,1,0,0,0,0,1.76946,2,1,1,0,0,0,26.34,50.67,-9,-9,3.333333333333333,2,3,0,0,4,7,3,1,1759,-126618.48,95303.977,0,0,771.38446
35,46,72,-9,75,74,1,0,14,0,3,1,3,0,-9,0,3,0,0,0,0,0,-1137.1755,-9,3,1,2019,14,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,41,55,-9,-9,6,2,3,-9,0,0,8,3,0,354.20001,410708.22,0,452259.72,14133.616,1828.4153
